,RANK,BRAND,CATEGORIES,SUBCATEGORIES,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED
0,1,Selena Gomez,celebrities,musicians,105.4M,2.62%,14.5M,1.2k
1,2,Taylor Swift,celebrities,musicians,95.2M,1.96%,10.5M,958
2,3,Ariana Grande,celebrities,musicians,92.3M,1.43%,16.9M,2.8k
3,4,Beyonce,celebrities,musicians,90.6M,2.53%,9.2M,1.4k
7,8,Justin Bieber,celebrities,musicians,77.9M,1.66%,26.2M,3.8k
10,11,Nicki Minaj,celebrities,musicians,70.8M,0.93%,3.7M,4.2k
16,17,KATY PERRY,celebrities,musicians,59.6M,1.50%,3.3M,507
17,18,Miley Cyrus,celebrities,musicians,57.8M,1.41%,6M,5.8k
18,19,Jennifer Lopez,celebrities,musicians,55.1M,1.23%,1.2M,1.6k
19,20,Demi Lovato,celebrities,musicians,51.3M,2.65%,6M,1.5k
22,23,badgalriri,celebrities,musicians,47.3M,1.53%,1.1M,3.7k
26,27,Justin Timberlake,celebrities,musicians,39.6M,1.42%,1.2M,498
29,30,Zendaya,celebrities,musicians,36M,3.02%,511.4k,3k
32,33,champagnepapi,celebrities,musicians,31.1M,1.33%,306.9k,3.4k
34,35,Shakira,celebrities,musicians,28.4M,2.06%,771k,664
44,45,"xoxo, Joanne",celebrities,musicians,20.4M,1.33%,3.9M,2.4k
46,47,harrystyles,celebrities,musicians,19.4M,12.39%,33.4M,391
49,50,Niall Horan,celebrities,musicians,18.3M,7.59%,28.2M,797
53,54,One Direction,celebrities,musicians,17.2M,10.00%,51.2M,726
55,56,Shawn Mendes,celebrities,musicians,16.9M,5.43%,2.2M,1.5k
57,58,euanitta,celebrities,musicians,16.6M,1.45%,447.7k,4.9k
69,70,Ciara,celebrities,musicians,14.6M,1.55%,497.3k,2.9k
70,71,Britney Spears,celebrities,musicians,14.5M,1.29%,1.7M,1.5k
73,74,snoopdogg,celebrities,musicians,14M,0.46%,859k,27.1k
78,79,Daddy Yankee,celebrities,musicians,13.3M,0.61%,313.7k,3.2k
84,85,elliegoulding,celebrities,musicians,12.9M,1.75%,648.9k,3.6k
85,86,50 Cent,celebrities,musicians,12.9M,0.89%,688.5k,1.4k
88,89,Luan Santana,celebrities,musicians,12.2M,1.64%,590.7k,2.7k
93,94,Louis Tomlinson,celebrities,musicians,11.8M,11.42%,25.5M,148
97,98,Tyga / T-Raww,celebrities,musicians,11.6M,1.31%,1.2M,2.5k
