,RANK,BRAND,CATEGORIES,SUBCATEGORIES,FOLLOWERS (M),ER,iPOSTS ON HASHTAG,MEDIA POSTED,SPOTIFY NAMES,SPOTIFY FOLLOWERS,SPOTIFY PHOTO
0,1,Selena Gomez,celebrities,musicians,105.4,2.62%,14.5,1.2k,Selena Gomez,23253551,https://i.scdn.co/image/61fc36467d4945514cdf052ed49286aa8ea3b4fc
1,2,Taylor Swift,celebrities,musicians,95.2,1.96%,10.5,958,Taylor Swift,33421356,https://i.scdn.co/image/a37efbc7fd3f5f5df81b48ce9c6de53820b239c1
2,3,Ariana Grande,celebrities,musicians,92.3,1.43%,16.9,2.8k,Ariana Grande,52450478,https://i.scdn.co/image/f8c793519d837ca2f920c561535fe62ef32e8e5b
3,4,Beyonce,celebrities,musicians,90.6,2.53%,9.2,1.4k,Beyonce,24925121,https://i.scdn.co/image/ad8b0e5a18a5a443a2678768bd73f59833941abc
4,8,Justin Bieber,celebrities,musicians,77.9,1.66%,26.2,3.8k,Justin Bieber,39129410,https://i.scdn.co/image/3ff69320dd62625e0e24737c1965027695369a31
5,11,Nicki inaj,celebrities,musicians,70.8,0.93%,3.7,4.2k,Nicki inaj,19126039,https://i.scdn.co/image/2a832cd2b8dd5d0deef6d682ca52ea29f5dda859
6,17,KATY PERRY,celebrities,musicians,59.6,1.50%,3.3,507,Katy Perry,16570488,https://i.scdn.co/image/ecebace064c7a48b7ae4a611b82887aa79163c1e
7,18,iley Cyrus,celebrities,musicians,57.8,1.41%,6,5.8k,iley Cyrus,13037017,https://i.scdn.co/image/f040656afb8bc16cd44781dd39ea3d02184f5c0f
8,19,Jennifer Lopez,celebrities,musicians,55.1,1.23%,1.2,1.6k,Jennifer Lopez,8861658,https://i.scdn.co/image/a23a2778e5787da9188cdaa959cedee9391ae4d2
9,20,Demi Lovato,celebrities,musicians,51.3,2.65%,6,1.5k,Demi Lovato,18329116,https://i.scdn.co/image/f188b71ba0f97ef22c35c820f0a67084cffd24ec
10,23,badgalriri,celebrities,musicians,47.3,1.53%,1.1,3.7k,Rihanna,39702807,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22
11,27,Justin Timberlake,celebrities,musicians,39.6,1.42%,1.2,498,Justin Timberlake,9838519,https://i.scdn.co/image/5b73ff32952c810c98bd5fbe8860ca99414ad6aa
12,30,Zendaya,celebrities,musicians,36.0,3.02%,511.4k,3k,Zendaya,2765611,https://i.scdn.co/image/fba29219867535aaed72b65c2cb363040cb98103
13,33,champagnepapi,celebrities,musicians,31.1,1.33%,306.9k,3.4k,Drake,50541059,https://i.scdn.co/image/60cfab40c6bb160a1906be45276829d430058005
14,35,Shakira,celebrities,musicians,28.4,2.06%,771k,664,Shakira,19977298,https://i.scdn.co/image/93e6b100a00437a05f57aa66ce41208811296fc8
15,45,"xoxo, Joanne",celebrities,musicians,20.4,1.33%,3.9,2.4k,Lady Gaga,14394953,https://i.scdn.co/image/1f4c23aa943d8eafc17e9f02e0cb1ffc3ac49d37
16,47,harrystyles,celebrities,musicians,19.4,12.39%,33.4,391,Harry Styles,10299531,https://i.scdn.co/image/b2163e7456f3d618a0e2a4e32bc892d6b11ce673
17,50,Niall Horan,celebrities,musicians,18.3,7.59%,28.2,797,Niall Horan,6156633,https://i.scdn.co/image/82f35ac49a5ce358af94df9f73ba31a7dd2d4721
18,54,One Direction,celebrities,musicians,17.2,10.00%,51.2,726,One Direction,18387241,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
19,56,Shawn endes,celebrities,musicians,16.9,5.43%,2.2,1.5k,Shawn endes,29701495,https://i.scdn.co/image/809b93c47fca237138e53968d86682f09d0f45a2
20,58,euanitta,celebrities,musicians,16.6,1.45%,447.7k,4.9k,Anitta,9891719,https://i.scdn.co/image/05f1a94086fd1b477779c5ec16ecf7561b6c2f5a
21,70,Ciara,celebrities,musicians,14.6,1.55%,497.3k,2.9k,Ciara,4600733,https://i.scdn.co/image/50b2efea0870ebe54f7d8c34bf2673be4f8a4ca6
22,71,Britney Spears,celebrities,musicians,14.5,1.29%,1.7,1.5k,Britney Spears,7963498,https://i.scdn.co/image/3e47967513ccda2182b17a1b29c00810b8965bd9
23,74,snoopdogg,celebrities,musicians,14.0,0.46%,859k,27.1k,Snoop Dogg,6300860,https://i.scdn.co/image/11208d65843456cf3854717b8e411ef8fede7141
24,79,Daddy Yankee,celebrities,musicians,13.3,0.61%,313.7k,3.2k,Daddy Yankee,20614030,https://i.scdn.co/image/f03d0c7a47bf08cb4ae8de345521346553bc015f
25,85,elliegoulding,celebrities,musicians,12.9,1.75%,648.9k,3.6k,Ellie Goulding,8593907,https://i.scdn.co/image/350804be731a64decef83b36771aa9f1b1f39ab7
26,86,50 Cent,celebrities,musicians,12.9,0.89%,688.5k,1.4k,50 Cent,6441780,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2
27,89,Luan Santana,celebrities,musicians,12.2,1.64%,590.7k,2.7k,Luan Santana,4782196,https://i.scdn.co/image/f641610eb3dd4443ba5f69a2cc83934abce63789
28,94,Louis Tomlinson,celebrities,musicians,11.8,11.42%,25.5,148,Louis Tomlinson,4037381,https://i.scdn.co/image/a63ba37dc90f583e8d82ea2bc7fc6a027c71d912
29,98,Tyga / T-Raww,celebrities,musicians,11.6,1.31%,1.2,2.5k,Tyga,5975449,https://i.scdn.co/image/80ba1d2870effe233433ec72dce98e0436cac5b4
